89: vertex_id[673] = { stop( Leningradskiy pr 40 ), bus( 65k), pos( 30 ) }
90: vertex_id[1226] = { stop( Leningradskiy pr 40 ), bus( 3k), pos( 34 ) }
91: vertex_id[1893] = { stop( Leningradskiy pr 40 ), bus( 83k), pos( 10 ) }
92: vertex_id[1317] = { stop( Leningradskiy pr 40 ), bus( 39k), pos( 24 ) }
93: vertex_id[2990] = { stop( Leningradskiy pr 40 ), bus( 57k), pos( 24 ) }
94: vertex_id[2184] = { stop( Leningradskiy pr 40 ), bus( 9k), pos( 34 ) }
95: vertex_id[2274] = { stop( Leningradskiy pr 40 ), bus( 33k), pos( 26 ) }
96: vertex_id[2637] = { stop( Leningradskiy pr 40 ), bus( 45k), pos( 28 ) }
97: vertex_id[2045] = { stop( Leningradskiy pr 40 ), bus( 29k), pos( 9 ) }
98: vertex_id[2599] = { stop( Leningradskiy pr 40 ), bus( 15), pos( 16 ) }
99: vertex_id[2360] = { stop( Leningradskiy pr 40 ), bus( 13), pos( 23 ) }
100: vertex_id[532] = { stop( Leningradskiy pr 40 ), bus( 91), pos( 25 ) }
101: vertex_id[2454] = { stop( Leningradskiy pr 40 ), bus( 35), pos( 21 ) }
102: vertex_id[2889] = { stop( Mokhovaya ul 40 ), bus( 51k), pos( 20 ) }
103: vertex_id[2802] = { stop( Mokhovaya ul 40 ), bus( 59), pos( 24 ) }
104: vertex_id[317] = { stop( Mokhovaya ul 40 ), bus( 95), pos( 22 ) }
105: vertex_id[713] = { stop( Mokhovaya ul 40 ), bus( 63), pos( 22 ) }
106: vertex_id[1852] = { stop( Mokhovaya ul 40 ), bus( 61k), pos( 16 ) }
107: vertex_id[1917] = { stop( Mokhovaya ul 40 ), bus( 49), pos( 6 ) }
108: vertex_id[663] = { stop( Mokhovaya ul 40 ), bus( 65k), pos( 20 ) }
109: vertex_id[1343] = { stop( Mokhovaya ul 40 ), bus( 1), pos( 11 ) }
110: vertex_id[1216] = { stop( Mokhovaya ul 40 ), bus( 3k), pos( 24 ) }
111: vertex_id[1699] = { stop( Mokhovaya ul 40 ), bus( 17), pos( 20 ) }
112: vertex_id[1471] = { stop( Mokhovaya ul 40 ), bus( 31k), pos( 22 ) }
113: vertex_id[1977] = { stop( Mokhovaya ul 40 ), bus( 7k), pos( 18 ) }
114: vertex_id[557] = { stop( Mokhovaya ul 40 ), bus( 73k), pos( 12 ) }
